Left boundary,Right boundary,S/(B+S)
-999.0,-981.79544,0.588166861113
-981.79544,-964.59088,0.0
-964.59088,-947.38632,0.0
-947.38632,-930.18176,0.0
-930.18176,-912.9772,0.0
-912.9772,-895.77264,0.0
-895.77264,-878.56808,0.0
-878.56808,-861.36352,0.0
-861.36352,-844.15896,0.0
-844.15896,-826.9544,0.0
-826.9544,-809.74984,0.0
-809.74984,-792.54528,0.0
-792.54528,-775.34072,0.0
-775.34072,-758.13616,0.0
-758.13616,-740.9316,0.0
-740.9316,-723.72704,0.0
-723.72704,-706.52248,0.0
-706.52248,-689.31792,0.0
-689.31792,-672.11336,0.0
-672.11336,-654.9088,0.0
-654.9088,-637.70424,0.0
-637.70424,-620.49968,0.0
-620.49968,-603.29512,0.0
-603.29512,-586.09056,0.0
-586.09056,-568.886,0.0
-568.886,-551.68144,0.0
-551.68144,-534.47688,0.0
-534.47688,-517.27232,0.0
-517.27232,-500.06776,0.0
-500.06776,-482.8632,0.0
-482.8632,-465.65864,0.0
-465.65864,-448.45408,0.0
-448.45408,-431.24952,0.0
-431.24952,-414.04496,0.0
-414.04496,-396.8404,0.0
-396.8404,-379.63584,0.0
-379.63584,-362.43128,0.0
-362.43128,-345.22672,0.0
-345.22672,-328.02216,0.0
-328.02216,-310.8176,0.0
-310.8176,-293.61304,0.0
-293.61304,-276.40848,0.0
-276.40848,-259.20392,0.0
-259.20392,-241.99936,0.0
-241.99936,-224.7948,0.0
-224.7948,-207.59024,0.0
-207.59024,-190.38568,0.0
-190.38568,-173.18112,0.0
-173.18112,-155.97656,0.0
-155.97656,-138.772,0.0
-138.772,-121.56744,0.0
-121.56744,-104.36288,0.0
-104.36288,-87.15832,0.0
-87.15832,-69.95376,0.0
-69.95376,-52.7492,0.0
-52.7492,-35.54464,0.0
-35.54464,-18.34008,0.0
-18.34008,-1.13552,0.0
-1.13552,16.06904,0.0
16.06904,33.2736,0.629778247096
33.2736,50.47816,0.6432829555
50.47816,67.68272,0.654015029976
67.68272,84.88728,0.65783720148
84.88728,102.09184,0.649117276166
102.09184,119.2964,0.652290303391
119.2964,136.50096,0.624375624376
136.50096,153.70552,0.620512820513
153.70552,170.91008,0.601915184679
170.91008,188.11464,0.590909090909
188.11464,205.3192,0.578313253012
205.3192,222.52376,0.578947368421
222.52376,239.72832,0.569444444444
239.72832,256.93288,0.585106382979
256.93288,274.13744,0.520547945205
274.13744,291.342,0.537037037037
291.342,308.54656,0.54
308.54656,325.75112,0.56
325.75112,342.95568,0.526315789474
342.95568,360.16024,0.535714285714
360.16024,377.3648,0.5
377.3648,394.56936,0.6
394.56936,411.77392,0.5
411.77392,428.97848,0.555555555556
428.97848,446.18304,0.5
446.18304,463.3876,0.5
463.3876,480.59216,0.5
480.59216,497.79672,0.5
497.79672,515.00128,0.5
515.00128,532.20584,0.5
532.20584,549.4104,0.0
549.4104,566.61496,0.5
566.61496,583.81952,0.5
583.81952,601.02408,0.0
601.02408,618.22864,0.0
618.22864,635.4332,0.0
635.4332,652.63776,0.0
652.63776,669.84232,0.0
669.84232,687.04688,0.0
687.04688,704.25144,0.0
704.25144,721.456,0.5
