Left boundary,Right boundary,S/(B+S)
30.0,36.91456,0.634820544781
36.91456,43.82912,0.641928385677
43.82912,50.74368,0.648180013236
50.74368,57.65824,0.654723692201
57.65824,64.5728,0.650340615457
64.5728,71.48736,0.658107901574
71.48736,78.40192,0.663048016701
78.40192,85.31648,0.652680652681
85.31648,92.23104,0.645001649621
92.23104,99.1456,0.65331010453
99.1456,106.06016,0.655438983987
106.06016,112.97472,0.652892561983
112.97472,119.88928,0.646953405018
119.88928,126.80384,0.624608967675
126.80384,133.7184,0.618911174785
133.7184,140.63296,0.627416520211
140.63296,147.54752,0.622718052738
147.54752,154.46208,0.611510791367
154.46208,161.37664,0.609756097561
161.37664,168.2912,0.594405594406
168.2912,175.20576,0.584905660377
175.20576,182.12032,0.597989949749
182.12032,189.03488,0.598837209302
189.03488,195.94944,0.587412587413
195.94944,202.864,0.57264957265
202.864,209.77856,0.588235294118
209.77856,216.69312,0.564356435644
216.69312,223.60768,0.565217391304
223.60768,230.52224,0.582089552239
230.52224,237.4368,0.551724137931
237.4368,244.35136,0.571428571429
244.35136,251.26592,0.607142857143
251.26592,258.18048,0.583333333333
258.18048,265.09504,0.55
265.09504,272.0096,0.514285714286
272.0096,278.92416,0.53125
278.92416,285.83872,0.555555555556
285.83872,292.75328,0.5
292.75328,299.66784,0.538461538462
299.66784,306.5824,0.55
306.5824,313.49696,0.666666666667
313.49696,320.41152,0.55
320.41152,327.32608,0.5
327.32608,334.24064,0.555555555556
334.24064,341.1552,0.5
341.1552,348.06976,0.5
348.06976,354.98432,0.571428571429
354.98432,361.89888,0.533333333333
361.89888,368.81344,0.5
368.81344,375.728,0.0
375.728,382.64256,0.0
382.64256,389.55712,0.6
389.55712,396.47168,0.5
396.47168,403.38624,0.5
403.38624,410.3008,0.0
410.3008,417.21536,0.5
417.21536,424.12992,0.666666666667
424.12992,431.04448,0.5
431.04448,437.95904,0.0
437.95904,444.8736,0.5
444.8736,451.78816,0.5
451.78816,458.70272,0.0
458.70272,465.61728,0.5
465.61728,472.53184,0.0
472.53184,479.4464,0.0
479.4464,486.36096,0.5
486.36096,493.27552,0.0
493.27552,500.19008,0.5
500.19008,507.10464,0.0
507.10464,514.0192,0.0
514.0192,520.93376,0.5
520.93376,527.84832,0.0
527.84832,534.76288,0.0
534.76288,541.67744,0.0
541.67744,548.592,0.0
548.592,555.50656,0.0
555.50656,562.42112,0.5
562.42112,569.33568,0.0
569.33568,576.25024,0.5
576.25024,583.1648,0.0
583.1648,590.07936,0.0
590.07936,596.99392,0.0
596.99392,603.90848,0.0
603.90848,610.82304,0.0
610.82304,617.7376,0.0
617.7376,624.65216,0.0
624.65216,631.56672,0.0
631.56672,638.48128,0.0
638.48128,645.39584,0.0
645.39584,652.3104,0.0
652.3104,659.22496,0.0
659.22496,666.13952,0.0
666.13952,673.05408,0.0
673.05408,679.96864,0.0
679.96864,686.8832,0.0
686.8832,693.79776,0.0
693.79776,700.71232,0.0
700.71232,707.62688,0.5
707.62688,714.54144,0.0
714.54144,721.456,0.5
